holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,258.79,0,0,63,Clouds,broken clouds,2013-01-03 05:00:00,2383
None,258.79,0,0,63,Clouds,broken clouds,2013-01-03 06:00:00,5390
None,262.53,0,0,99,Clouds,overcast clouds,2013-01-03 07:00:00,6431
None,263.93,0,0,90,Snow,heavy snow,2013-01-03 09:00:00,4768
None,263.93,0,0,90,Mist,mist,2013-01-03 09:00:00,4768
None,263.93,0,0,90,Fog,fog,2013-01-03 09:00:00,4768
None,263.95,0,0,90,Snow,heavy snow,2013-01-03 10:00:00,4002
None,263.95,0,0,90,Mist,mist,2013-01-03 10:00:00,4002
None,264.2,0,0,90,Snow,heavy snow,2013-01-03 11:00:00,4280
None,264.2,0,0,90,Mist,mist,2013-01-03 11:00:00,4280
None,264.81,0,0,90,Snow,heavy snow,2013-01-03 12:00:00,4540
None,264.81,0,0,90,Mist,mist,2013-01-03 12:00:00,4540
None,264.97,0,0,90,Snow,heavy snow,2013-01-03 13:00:00,4729
None,264.97,0,0,90,Mist,mist,2013-01-03 13:00:00,4729
None,264.97,0,0,90,Haze,haze,2013-01-03 13:00:00,4729
None,265.22,0,0,90,Snow,heavy snow,2013-01-03 14:00:00,4944
None,265.22,0,0,90,Mist,mist,2013-01-03 14:00:00,4944
None,265.22,0,0,90,Haze,haze,2013-01-03 14:00:00,4944
None,265.33,0,0,90,Snow,heavy snow,2013-01-03 15:00:00,5297
None,265.33,0,0,90,Mist,mist,2013-01-03 15:00:00,5297
None,265.16,0,0,90,Snow,heavy snow,2013-01-03 16:00:00,6142
None,265.16,0,0,90,Mist,mist,2013-01-03 16:00:00,6142
None,265.16,0,0,90,Mist,mist,2013-01-03 17:00:00,5782
None,265.37,0,0,90,Mist,mist,2013-01-03 18:00:00,4129
None,265.37,0,0,90,Haze,haze,2013-01-03 18:00:00,4129
None,265.47,0,0,90,Mist,mist,2013-01-03 19:00:00,2925
None,265.47,0,0,90,Snow,heavy snow,2013-01-03 19:00:00,2925
None,265.72,0,0,90,Mist,mist,2013-01-03 20:00:00,2453
None,265.72,0,0,90,Snow,heavy snow,2013-01-03 20:00:00,2453
None,265.72,0,0,90,Haze,haze,2013-01-03 20:00:00,2453
None,266.09,0,0,90,Mist,mist,2013-01-03 21:00:00,2046
None,266.09,0,0,90,Haze,haze,2013-01-03 21:00:00,2046
None,266.09,0,0,90,Snow,heavy snow,2013-01-03 21:00:00,2046
None,266.41,0,0,90,Mist,mist,2013-01-03 22:00:00,1550
None,266.41,0,0,90,Snow,heavy snow,2013-01-03 22:00:00,1550
None,266.41,0,0,90,Haze,haze,2013-01-03 22:00:00,1550
None,266.78,0,0,90,Mist,mist,2013-01-03 23:00:00,1079
None,266.78,0,0,90,Haze,haze,2013-01-03 23:00:00,1079
None,266.78,0,0,90,Snow,heavy snow,2013-01-03 23:00:00,1079
None,266.34,0,0,90,Mist,mist,2013-01-04 00:00:00,604
None,266.34,0,0,90,Snow,heavy snow,2013-01-04 00:00:00,604
None,265.93,0,0,90,Snow,heavy snow,2013-01-04 01:00:00,353
None,265.52,0,0,90,Snow,heavy snow,2013-01-04 02:00:00,301
None,265.52,0,0,90,Mist,mist,2013-01-04 02:00:00,301
None,264.85,0,0,90,Snow,heavy snow,2013-01-04 03:00:00,326
None,264.85,0,0,90,Mist,mist,2013-01-04 03:00:00,326
None,264.49,0,0,90,Haze,haze,2013-01-04 04:00:00,675
None,263.6,0,0,90,Haze,haze,2013-01-04 05:00:00,2195
None,263.02,0,0,90,Haze,haze,2013-01-04 06:00:00,5263
None,263.02,0,0,90,Snow,heavy snow,2013-01-04 06:00:00,5263
None,262.46,0,0,90,Snow,heavy snow,2013-01-04 07:00:00,6380
None,261.8,0,0,90,Snow,heavy snow,2013-01-04 08:00:00,5761
None,261.9,0,0,90,Snow,heavy snow,2013-01-04 09:00:00,4844
None,261.9,0,0,90,Mist,mist,2013-01-04 09:00:00,4844
None,261.6,0,0,90,Snow,heavy snow,2013-01-04 10:00:00,4327
None,261.6,0,0,90,Mist,mist,2013-01-04 10:00:00,4327
None,261.71,0,0,90,Snow,heavy snow,2013-01-04 11:00:00,4787
None,261.71,0,0,90,Mist,mist,2013-01-04 11:00:00,4787
None,262.11,0,0,40,Snow,heavy snow,2013-01-04 12:00:00,4880
None,262.42,0,0,1,Clear,sky is clear,2013-01-04 13:00:00,5026
None,262.6,0,0,1,Clear,sky is clear,2013-01-04 14:00:00,5315
None,262.94,0,0,1,Clear,sky is clear,2013-01-04 15:00:00,5636
None,262.68,0,0,1,Clear,sky is clear,2013-01-04 16:00:00,6256
None,261.88,0,0,1,Clear,sky is clear,2013-01-04 17:00:00,5900
None,261.23,0,0,1,Clear,sky is clear,2013-01-04 18:00:00,4353
None,260.92,0,0,1,Clear,sky is clear,2013-01-04 19:00:00,3135
None,261.49,0,0,1,Clear,sky is clear,2013-01-04 20:00:00,2674
None,262.26,0,0,1,Clear,sky is clear,2013-01-04 21:00:00,2463
None,262.82,0,0,1,Clear,sky is clear,2013-01-04 22:00:00,2064
None,263.44,0,0,1,Clear,sky is clear,2013-01-04 23:00:00,1517
None,265.69,0,0,1,Clear,sky is clear,2013-01-05 04:00:00,375
None,265.69,0,0,1,Clear,sky is clear,2013-01-05 05:00:00,652
None,265.37,0,0,1,Clear,sky is clear,2013-01-05 07:00:00,1597
None,265.43,0,0,1,Clear,sky is clear,2013-01-05 08:00:00,2339
None,266.29,0,0,1,Clear,sky is clear,2013-01-05 09:00:00,3177
None,267.41,0,0,1,Clear,sky is clear,2013-01-05 10:00:00,3482
None,269,0,0,1,Clear,sky is clear,2013-01-05 11:00:00,3813
None,270.17,0,0,1,Clear,sky is clear,2013-01-05 12:00:00,4406
None,270.98,0,0,1,Clear,sky is clear,2013-01-05 13:00:00,4191
None,271.33,0,0,1,Clear,sky is clear,2013-01-05 14:00:00,4296
None,271.56,0,0,1,Clear,sky is clear,2013-01-05 15:00:00,4387
None,270.7,0,0,20,Clouds,few clouds,2013-01-05 16:00:00,4273
None,269.17,0,0,20,Clouds,few clouds,2013-01-05 17:00:00,4230
None,267.38,0,0,20,Clouds,few clouds,2013-01-05 18:00:00,3781
None,265.82,0,0,20,Clouds,few clouds,2013-01-05 19:00:00,2342
None,264.49,0,0,1,Clear,sky is clear,2013-01-05 20:00:00,1933
None,264.15,0,0,1,Clear,sky is clear,2013-01-05 21:00:00,1873
None,263.87,0,0,20,Clouds,few clouds,2013-01-05 22:00:00,2502
None,262.42,0,0,1,Clear,sky is clear,2013-01-05 23:00:00,1602
None,262.36,0,0,1,Clear,sky is clear,2013-01-06 00:00:00,951
None,261.78,0,0,1,Clear,sky is clear,2013-01-06 01:00:00,608
None,261.8,0,0,1,Mist,mist,2013-01-06 02:00:00,507
None,262.03,0,0,1,Clear,sky is clear,2013-01-06 03:00:00,318
None,261.09,0,0,1,Mist,mist,2013-01-06 04:00:00,256
None,260.21,0,0,1,Mist,mist,2013-01-06 05:00:00,406
None,260.71,0,0,1,Mist,mist,2013-01-06 06:00:00,709
None,260.78,0,0,1,Mist,mist,2013-01-06 07:00:00,927
None,260.68,0,0,1,Mist,mist,2013-01-06 08:00:00,1478
None,261.36,0,0,20,Mist,mist,2013-01-06 09:00:00,2304
None,263.85,0,0,1,Mist,mist,2013-01-06 10:00:00,2897
None,263.85,0,0,1,Haze,haze,2013-01-06 10:00:00,2897
None,265.12,0,0,1,Haze,haze,2013-01-06 11:00:00,3190
None,265.12,0,0,1,Mist,mist,2013-01-06 11:00:00,3190
None,266.49,0,0,1,Haze,haze,2013-01-06 12:00:00,3441
None,267.71,0,0,20,Haze,haze,2013-01-06 13:00:00,3840
None,268.3,0,0,20,Haze,haze,2013-01-06 14:00:00,4074
None,268.5,0,0,40,Haze,haze,2013-01-06 15:00:00,4037
None,267.89,0,0,40,Haze,haze,2013-01-06 16:00:00,3969
None,267.16,0,0,1,Clear,sky is clear,2013-01-06 17:00:00,3762
None,265.97,0,0,75,Clouds,broken clouds,2013-01-06 18:00:00,3062
None,265.9,0,0,75,Clouds,broken clouds,2013-01-06 19:00:00,2512
None,265.09,0,0,75,Clouds,broken clouds,2013-01-06 20:00:00,2087
None,264.78,0,0,75,Mist,mist,2013-01-06 21:00:00,1669
None,264.78,0,0,75,Haze,haze,2013-01-06 21:00:00,1669
None,265.04,0,0,75,Mist,mist,2013-01-06 22:00:00,1384
None,265.04,0,0,75,Haze,haze,2013-01-06 22:00:00,1384
None,265.34,0,0,90,Haze,haze,2013-01-06 23:00:00,853
None,265.05,0,0,90,Haze,haze,2013-01-07 00:00:00,442
None,264.53,0,0,40,Haze,haze,2013-01-07 01:00:00,312
None,264.07,0,0,1,Clear,sky is clear,2013-01-07 02:00:00,248
None,263.91,0,0,40,Clouds,scattered clouds,2013-01-07 03:00:00,278
None,264.24,0,0,75,Clouds,broken clouds,2013-01-07 04:00:00,754
None,263.69,0,0,75,Clouds,broken clouds,2013-01-07 05:00:00,2398
None,262.3,0,0,20,Clouds,few clouds,2013-01-07 06:00:00,5522
None,261.6,0,0,20,Clouds,few clouds,2013-01-07 07:00:00,6681
None,260.79,0,0,1,Clear,sky is clear,2013-01-07 08:00:00,5839
None,261.94,0,0,1,Clear,sky is clear,2013-01-07 09:00:00,4709
None,263.58,0,0,1,Clear,sky is clear,2013-01-07 10:00:00,4131
None,264.96,0,0,1,Clear,sky is clear,2013-01-07 11:00:00,4294
None,265.93,0,0,20,Clouds,few clouds,2013-01-07 12:00:00,4410
None,266.71,0,0,20,Clouds,few clouds,2013-01-07 13:00:00,4642
None,267.16,0,0,20,Clouds,few clouds,2013-01-07 14:00:00,5105
None,267.15,0,0,20,Clouds,few clouds,2013-01-07 15:00:00,5494
None,266.48,0,0,40,Clouds,scattered clouds,2013-01-07 16:00:00,6231
None,265.22,0,0,40,Clouds,scattered clouds,2013-01-07 17:00:00,5717
None,264.06,0,0,20,Clouds,few clouds,2013-01-07 18:00:00,4169
None,263.44,0,0,20,Clouds,few clouds,2013-01-07 19:00:00,2752
None,263.13,0,0,20,Clouds,few clouds,2013-01-07 20:00:00,2229
None,263.08,0,0,20,Clouds,few clouds,2013-01-07 21:00:00,1894
None,263.88,0,0,75,Clouds,broken clouds,2013-01-07 22:00:00,1440
None,264.49,0,0,40,Clouds,scattered clouds,2013-01-07 23:00:00,961
None,265.41,0,0,75,Clouds,broken clouds,2013-01-08 00:00:00,489
None,267.04,0,0,90,Clouds,overcast clouds,2013-01-08 01:00:00,333
None,268.77,0,0,90,Clouds,overcast clouds,2013-01-08 02:00:00,230
None,269.8,0,0,75,Clouds,broken clouds,2013-01-08 03:00:00,314
None,270.68,0,0,75,Clouds,broken clouds,2013-01-08 04:00:00,758
None,270.84,0,0,40,Clouds,scattered clouds,2013-01-08 05:00:00,2432
None,270.74,0,0,40,Clouds,scattered clouds,2013-01-08 06:00:00,5674
None,270.32,0,0,75,Clouds,broken clouds,2013-01-08 07:00:00,6771
None,270.22,0,0,75,Clouds,broken clouds,2013-01-08 08:00:00,6094
None,270.27,0,0,75,Clouds,broken clouds,2013-01-08 09:00:00,4964
None,271.43,0,0,75,Clouds,broken clouds,2013-01-08 10:00:00,4357
None,272,0,0,75,Clouds,broken clouds,2013-01-08 11:00:00,4432
None,273.05,0,0,75,Clouds,broken clouds,2013-01-08 12:00:00,4589
None,274.18,0,0,40,Clouds,scattered clouds,2013-01-08 13:00:00,4858
None,274.38,0,0,40,Clouds,scattered clouds,2013-01-08 16:00:00,6486
None,273.44,0,0,40,Clouds,scattered clouds,2013-01-08 17:00:00,6271
None,272.23,0,0,40,Clouds,scattered clouds,2013-01-08 18:00:00,4677
None,271.79,0,0,40,Clouds,scattered clouds,2013-01-08 19:00:00,2805
None,270.98,0,0,20,Clouds,few clouds,2013-01-08 20:00:00,2528
None,270.4,0,0,40,Clouds,scattered clouds,2013-01-08 21:00:00,2278
None,269.75,0,0,75,Clouds,broken clouds,2013-01-08 22:00:00,1733
None,269.43,0,0,75,Mist,mist,2013-01-08 23:00:00,945
None,268.26,0,0,20,Mist,mist,2013-01-09 00:00:00,531
None,266.67,0,0,40,Mist,mist,2013-01-09 01:00:00,357
None,265.93,0,0,40,Mist,mist,2013-01-09 02:00:00,271
None,263.93,0,0,1,Mist,mist,2013-01-09 04:00:00,773
None,263.93,0,0,1,Fog,fog,2013-01-09 04:00:00,773
None,263.85,0,0,20,Mist,mist,2013-01-09 05:00:00,2456
None,264.88,0,0,75,Mist,mist,2013-01-09 07:00:00,6852
None,266.57,0,0,75,Mist,mist,2013-01-09 08:00:00,6234
None,268.3,0,0,75,Mist,mist,2013-01-09 09:00:00,5061
None,269.84,0,0,75,Mist,mist,2013-01-09 10:00:00,4243
None,271.42,0,0,75,Haze,haze,2013-01-09 11:00:00,4677
None,272.58,0,0,75,Clouds,broken clouds,2013-01-09 12:00:00,4753
None,273.13,0,0,75,Clouds,broken clouds,2013-01-09 13:00:00,4780
None,273.56,0,0,75,Clouds,broken clouds,2013-01-09 14:00:00,5217
None,273.86,0,0,90,Clouds,overcast clouds,2013-01-09 15:00:00,5447
None,273.67,0,0,90,Clouds,overcast clouds,2013-01-09 16:00:00,6394
None,273.51,0,0,90,Clouds,overcast clouds,2013-01-09 17:00:00,6139
None,273.49,0,0,90,Clouds,overcast clouds,2013-01-09 18:00:00,4465
None,273.12,0,0,90,Clouds,overcast clouds,2013-01-09 19:00:00,2952
None,271.48,0,0,98,Clouds,overcast clouds,2013-01-09 20:00:00,2603
None,272.65,0,0,20,Clouds,few clouds,2013-01-10 03:00:00,314
None,273.65,0,0,1,Clear,sky is clear,2013-01-10 04:00:00,754
None,272.95,0,0,1,Clear,sky is clear,2013-01-10 12:00:00,4902
None,272.08,0,0,20,Clouds,few clouds,2013-01-10 17:00:00,5886
None,270.58,0,0,20,Clouds,few clouds,2013-01-10 18:00:00,4322
None,268.38,0,0,20,Clouds,few clouds,2013-01-10 19:00:00,2857
None,269.07,0,0,1,Clear,sky is clear,2013-01-10 20:00:00,2474
None,269.44,0,0,1,Clear,sky is clear,2013-01-10 21:00:00,2365
None,269.45,0,0,1,Clear,sky is clear,2013-01-10 23:00:00,1070
None,270.06,0,0,1,Clear,sky is clear,2013-01-11 00:00:00,557
None,270.51,0,0,1,Clear,sky is clear,2013-01-11 01:00:00,334
None,270.64,0,0,1,Clear,sky is clear,2013-01-11 02:00:00,308
None,270.86,0,0,75,Clouds,broken clouds,2013-01-11 03:00:00,322
None,271.38,0,0,75,Clouds,broken clouds,2013-01-11 04:00:00,723
None,272.13,0,0,1,Clear,sky is clear,2013-01-11 05:00:00,2367
None,272.52,0,0,1,Clear,sky is clear,2013-01-11 06:00:00,5163
None,272.52,0,0,20,Clouds,few clouds,2013-01-11 07:00:00,6029
None,272.79,0,0,20,Clouds,few clouds,2013-01-11 08:00:00,5751
None,273.38,0,0,20,Clouds,few clouds,2013-01-11 09:00:00,4847
None,274.88,0,0,40,Clouds,scattered clouds,2013-01-11 10:00:00,4367
None,275.86,0,0,75,Clouds,broken clouds,2013-01-11 11:00:00,4786
None,276.89,0,0,75,Clouds,broken clouds,2013-01-11 13:00:00,4885
None,276.89,0,0,90,Clouds,overcast clouds,2013-01-11 14:00:00,5387
None,276.29,0,0,90,Rain,light rain,2013-01-11 17:00:00,5668
None,276.29,0,0,90,Rain,moderate rain,2013-01-11 17:00:00,5668
None,276.29,0,0,90,Drizzle,drizzle,2013-01-11 17:00:00,5668
None,276.29,0,0,90,Drizzle,light intensity drizzle,2013-01-11 17:00:00,5668
None,274.92,0,0,90,Rain,light rain,2013-01-11 18:00:00,4476
None,274.92,0,0,90,Rain,moderate rain,2013-01-11 18:00:00,4476
None,274.05,0,0,90,Rain,light rain,2013-01-11 19:00:00,3433
None,274.05,0,0,90,Mist,mist,2013-01-11 19:00:00,3433
None,274.05,0,0,90,Rain,moderate rain,2013-01-11 19:00:00,3433
None,273.93,0,0,90,Rain,light rain,2013-01-11 20:00:00,2711
None,273.93,0,0,90,Mist,mist,2013-01-11 20:00:00,2711
None,273.93,0,0,90,Rain,light rain,2013-01-11 21:00:00,2511
None,273.93,0,0,90,Mist,mist,2013-01-11 21:00:00,2511
None,273.93,0,0,90,Drizzle,drizzle,2013-01-11 21:00:00,2511
None,274.05,0,0,90,Mist,mist,2013-01-11 22:00:00,2143
None,274.05,0,0,90,Rain,light rain,2013-01-11 22:00:00,2143
None,274.18,0,0,90,Drizzle,light intensity drizzle,2013-01-11 23:00:00,1629
None,274.18,0,0,90,Mist,mist,2013-01-11 23:00:00,1629
None,274.18,0,0,90,Rain,light rain,2013-01-11 23:00:00,1629
None,274.67,0,0,90,Drizzle,light intensity drizzle,2013-01-12 00:00:00,1043
None,274.67,0,0,90,Mist,mist,2013-01-12 00:00:00,1043
None,274.67,0,0,90,Rain,light rain,2013-01-12 00:00:00,1043
None,274.67,0,0,90,Mist,mist,2013-01-12 01:00:00,682
None,274.67,0,0,90,Rain,light rain,2013-01-12 01:00:00,682
None,274.67,0,0,90,Mist,mist,2013-01-12 02:00:00,518
None,274.67,0,0,90,Mist,mist,2013-01-12 03:00:00,353
None,274.67,0,0,90,Mist,mist,2013-01-12 04:00:00,382
None,274.8,0,0,90,Mist,mist,2013-01-12 05:00:00,644
None,274.8,0,0,90,Fog,fog,2013-01-12 05:00:00,644
None,274.8,0,0,90,Drizzle,light intensity drizzle,2013-01-12 06:00:00,1142
None,274.8,0,0,90,Mist,mist,2013-01-12 06:00:00,1142
None,274.8,0,0,90,Fog,fog,2013-01-12 06:00:00,1142
None,274.67,0,0,90,Drizzle,light intensity drizzle,2013-01-12 07:00:00,1696
None,274.67,0,0,90,Mist,mist,2013-01-12 07:00:00,1696
None,274.8,0,0,90,Mist,mist,2013-01-12 08:00:00,2624
None,275.05,0,0,90,Mist,mist,2013-01-12 09:00:00,3377
None,275.29,0,0,90,Mist,mist,2013-01-12 10:00:00,3600
None,275.54,0,0,90,Drizzle,light intensity drizzle,2013-01-12 11:00:00,4017
None,275.54,0,0,90,Mist,mist,2013-01-12 11:00:00,4017
None,275.54,0,0,90,Fog,fog,2013-01-12 11:00:00,4017
None,275.66,0,0,90,Drizzle,light intensity drizzle,2013-01-12 12:00:00,4538
None,275.66,0,0,90,Mist,mist,2013-01-12 12:00:00,4538
None,275.66,0,0,90,Fog,fog,2013-01-12 12:00:00,4538
None,275.79,0,0,90,Drizzle,light intensity drizzle,2013-01-12 13:00:00,4556
None,275.79,0,0,90,Mist,mist,2013-01-12 13:00:00,4556
None,275.92,0,0,90,Drizzle,light intensity drizzle,2013-01-12 14:00:00,4547
None,275.92,0,0,90,Mist,mist,2013-01-12 14:00:00,4547
None,275.66,0,0,90,Drizzle,light intensity drizzle,2013-01-12 15:00:00,4557
None,275.66,0,0,90,Mist,mist,2013-01-12 15:00:00,4557
None,275.66,0,0,90,Fog,fog,2013-01-12 15:00:00,4557
None,275.67,0,0,90,Drizzle,light intensity drizzle,2013-01-12 16:00:00,4338
None,275.67,0,0,90,Mist,mist,2013-01-12 16:00:00,4338
None,275.93,0,0,90,Mist,mist,2013-01-12 17:00:00,4170
None,275.93,0,0,90,Drizzle,light intensity drizzle,2013-01-12 17:00:00,4170
None,275.93,0,0,90,Drizzle,drizzle,2013-01-12 17:00:00,4170
None,276.05,0,0,90,Mist,mist,2013-01-12 18:00:00,3789
None,276.05,0,0,90,Drizzle,light intensity drizzle,2013-01-12 18:00:00,3789
None,276.05,0,0,90,Rain,light rain,2013-01-12 18:00:00,3789
None,276.31,0,0,90,Mist,mist,2013-01-12 19:00:00,2627
None,276.31,0,0,90,Drizzle,light intensity drizzle,2013-01-12 19:00:00,2627
None,276.68,0,0,90,Mist,mist,2013-01-12 20:00:00,2352
None,276.68,0,0,90,Drizzle,light intensity drizzle,2013-01-12 20:00:00,2352
None,276.68,0,0,90,Drizzle,drizzle,2013-01-12 20:00:00,2352
None,276.93,0,0,90,Mist,mist,2013-01-12 21:00:00,2304
None,276.93,0,0,90,Fog,fog,2013-01-12 21:00:00,2304
None,276.93,0,0,90,Drizzle,light intensity drizzle,2013-01-12 21:00:00,2304
None,277.31,0,0,90,Rain,light rain,2013-01-12 22:00:00,2101
None,277.31,0,0,90,Mist,mist,2013-01-12 22:00:00,2101
None,277.31,0,0,90,Drizzle,light intensity drizzle,2013-01-12 22:00:00,2101
None,277.21,0,0,90,Mist,mist,2013-01-12 23:00:00,1807
None,276.2,0,0,90,Clouds,overcast clouds,2013-01-13 00:00:00,1049
None,274.35,0,0,90,Snow,heavy snow,2013-01-13 01:00:00,681
None,274.35,0,0,90,Mist,mist,2013-01-13 01:00:00,681
None,268.44,0,0,90,Snow,heavy snow,2013-01-13 03:00:00,306
None,267.57,0,0,90,Snow,heavy snow,2013-01-13 04:00:00,199
None,266.2,0,0,90,Snow,heavy snow,2013-01-13 05:00:00,422
None,265.06,0,0,90,Snow,heavy snow,2013-01-13 06:00:00,686
None,264.83,0,0,90,Snow,heavy snow,2013-01-13 07:00:00,951
None,263.83,0,0,90,Snow,heavy snow,2013-01-13 08:00:00,1444
None,263.07,0,0,75,Haze,haze,2013-01-13 10:00:00,2983
None,263.07,0,0,75,Snow,heavy snow,2013-01-13 10:00:00,2983
None,263.07,0,0,40,Clouds,scattered clouds,2013-01-13 11:00:00,3498
None,262.93,0,0,75,Clouds,broken clouds,2013-01-13 13:00:00,3907
None,262.31,0,0,90,Snow,heavy snow,2013-01-13 14:00:00,3644
None,261.32,0,0,75,Clouds,broken clouds,2013-01-13 16:00:00,3687
None,260.58,0,0,90,Clouds,overcast clouds,2013-01-13 17:00:00,3400
None,259.94,0,0,40,Clouds,scattered clouds,2013-01-13 19:00:00,2363
None,259.08,0,0,75,Clouds,broken clouds,2013-01-13 20:00:00,1943
None,258.71,0,0,75,Haze,haze,2013-01-13 21:00:00,1718
None,258.45,0,0,20,Clouds,few clouds,2013-01-13 22:00:00,1274
None,257.83,0,0,20,Clouds,few clouds,2013-01-13 23:00:00,785
None,257.7,0,0,20,Clouds,few clouds,2013-01-14 00:00:00,429
None,257.19,0,0,20,Clouds,few clouds,2013-01-14 01:00:00,265
None,256.95,0,0,1,Clear,sky is clear,2013-01-14 02:00:00,222
None,256.83,0,0,1,Clear,sky is clear,2013-01-14 03:00:00,281
None,256.7,0,0,20,Clouds,few clouds,2013-01-14 04:00:00,735
None,256.58,0,0,90,Clouds,overcast clouds,2013-01-14 05:00:00,2368
None,256.34,0,0,90,Clouds,overcast clouds,2013-01-14 06:00:00,5427
None,256.34,0,0,90,Clouds,overcast clouds,2013-01-14 07:00:00,6579
None,256.2,0,0,75,Clouds,broken clouds,2013-01-14 08:00:00,5908
None,256.42,0,0,75,Snow,heavy snow,2013-01-14 09:00:00,4673
None,256.82,0,0,90,Snow,heavy snow,2013-01-14 10:00:00,3943
None,256.82,0,0,90,Haze,haze,2013-01-14 10:00:00,3943
None,257.68,0,0,90,Snow,heavy snow,2013-01-14 11:00:00,4217
None,257.68,0,0,90,Haze,haze,2013-01-14 11:00:00,4217
None,258.59,0,0,75,Haze,haze,2013-01-14 12:00:00,4509
None,258.59,0,0,75,Snow,heavy snow,2013-01-14 12:00:00,4509
None,259.07,0,0,90,Snow,heavy snow,2013-01-14 13:00:00,4532
None,259.07,0,0,90,Haze,haze,2013-01-14 13:00:00,4532
None,259.56,0,0,90,Snow,heavy snow,2013-01-14 14:00:00,5170
None,259.6,0,0,90,Snow,heavy snow,2013-01-14 15:00:00,5554
None,259.6,0,0,90,Haze,haze,2013-01-14 15:00:00,5554
